iter	Passed	Remaining
0	1	114
1	2	101
2	2	94
3	3	85
4	4	84
5	5	82
6	6	82
7	7	81
8	7	80
9	8	79
10	9	78
11	10	77
12	11	76
13	12	77
14	13	76
15	14	75
16	15	76
17	16	75
18	17	75
19	18	74
20	19	73
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
