iter	Passed	Remaining
0	171	171626
1	173	86490
2	192	63936
3	197	49183
4	199	39632
5	200	33244
6	202	28677
7	203	25248
8	205	22578
9	206	20440
10	207	18695
11	211	17446
12	213	16201
13	214	15136
14	216	14213
15	218	13413
16	219	12692
17	220	12051
18	222	11474
19	223	10956
20	227	10595
21	228	10169
22	243	10353
23	248	10107
24	250	9753
25	251	9431
26	253	9119
27	263	9133
28	264	8861
29	266	8608
30	267	8369
31	269	8147
32	271	7943
33	272	7748
34	274	7566
35	276	7395
36	278	7240
37	280	7089
38	281	6940
39	283	6802
40	285	6668
41	286	6540
42	288	6418
43	292	6344
44	293	6235
45	295	6131
46	297	6031
47	308	6114
48	309	6014
49	311	5918
50	313	5826
51	327	5962
52	328	5875
53	330	5791
54	332	5709
55	334	5638
56	338	5605
57	340	5536
58	342	5462
59	344	5390
60	345	5320
61	347	5253
62	348	5190
63	350	5127
64	370	5333
65	376	5330
66	378	5268
67	379	5206
68	381	5147
69	383	5089
70	387	5065
71	388	5012
72	390	4962
73	392	4913
74	394	4864
75	396	4819
76	398	4774
77	402	4755
78	404	4712
79	407	4687
80	412	4685
81	414	4642
82	416	4606
83	419	4578
84	421	4539
85	423	4499
86	425	4461
87	426	4424
88	428	4387
89	431	4365
90	433	4328
91	435	4294
92	436	4259
93	438	4224
94	439	4189
95	441	4155
96	442	4123
97	446	4112
98	464	4231
99	466	4200
100	468	4168
101	469	4137
102	471	4106
103	473	4078
104	477	4068
105	478	4039
106	480	4010
107	482	3983
108	484	3957
109	486	3933
110	487	3906
111	489	3882
112	491	3856
113	493	3831
114	494	3806
115	496	3781
116	497	3756
117	499	3734
118	501	3710
119	503	3689
120	504	3666
121	505	3641
122	520	3713
123	522	3691
124	524	3668
125	525	3646
126	527	3623
127	528	3603
128	530	3582
129	532	3563
130	534	3546
131	536	3529
132	549	3580
133	558	3609
134	560	3589
135	563	3578
136	564	3558
137	566	3539
138	568	3520
139	569	3500
140	575	3507
141	576	3485
142	591	3547
143	593	3528
144	595	3509
145	597	3492
146	598	3472
147	599	3453
148	601	3435
149	606	3434
150	607	3416
151	609	3399
152	610	3382
153	612	3364
154	627	3422
155	636	3442
156	638	3426
157	639	3409
158	641	3392
159	642	3375
160	643	3355
161	645	3338
162	647	3322
163	653	3330
164	654	3314
165	656	3298
166	658	3283
167	659	3267
168	661	3253
169	663	3238
170	667	3237
171	669	3222
172	675	3227
173	676	3213
174	680	3205
175	682	3193
176	683	3179
177	693	3202
178	697	3197
179	698	3182
180	700	3168
181	708	3185
182	716	3197
183	717	3183
184	719	3169
185	721	3158
186	725	3153
187	726	3139
188	728	3126
189	730	3113
190	736	3120
191	741	3122
192	758	3169
193	759	3156
194	761	3143
195	763	3130
196	764	3117
197	766	3104
198	776	3125
199	778	3113
200	779	3100
201	781	3087
202	783	3075
203	784	3062
204	791	3070
205	793	3058
206	795	3045
207	796	3033
208	803	3042
209	807	3036
210	808	3024
211	810	3012
212	812	3000
213	813	2988
214	815	2977
215	819	2974
216	821	2963
217	826	2964
218	827	2952
219	829	2941
220	834	2942
221	836	2931
222	844	2941
223	854	2959
224	855	2947
225	857	2936
226	859	2925
227	869	2943
228	871	2932
229	872	2922
230	876	2918
231	878	2907
232	882	2904
233	883	2893
234	885	2883
235	887	2873
236	889	2862
237	890	2852
238	892	2841
239	893	2830
240	915	2881
241	916	2871
242	918	2862
243	920	2852
244	922	2841
245	931	2854
246	934	2849
247	936	2840
248	938	2830
249	940	2821
250	942	2811
251	945	2807
252	951	2810
253	953	2800
254	955	2790
255	956	2780
256	989	2860
257	993	2857
258	997	2854
259	999	2844
260	1001	2836
261	1003	2826
262	1004	2815
263	1010	2816
264	1012	2807
265	1053	2906
266	1055	2896
267	1056	2886
268	1058	2876
269	1060	2866
270	1061	2856
271	1064	2848
272	1066	2839
273	1113	2949
274	1114	2939
275	1116	2929
276	1118	2919
277	1121	2912
278	1124	2905
279	1127	2900
280	1130	2891
281	1131	2881
282	1133	2871
283	1145	2888
284	1148	2880
285	1149	2869
286	1162	2888
287	1165	2881
288	1168	2874
289	1169	2864
290	1171	2854
291	1173	2844
292	1174	2834
293	1193	2867
294	1195	2857
295	1197	2847
296	1199	2840
297	1201	2831
298	1203	2821
299	1205	2812
300	1206	2802
301	1209	2794
302	1210	2785
303	1212	2775
304	1216	2771
305	1217	2762
306	1219	2753
307	1221	2744
308	1226	2743
309	1228	2733
310	1229	2724
311	1231	2715
312	1233	2706
313	1234	2697
314	1237	2691
315	1239	2683
316	1242	2677
317	1244	2668
318	1246	2660
319	1248	2652
320	1249	2643
321	1251	2635
322	1253	2626
323	1255	2618
324	1256	2610
325	1258	2601
326	1260	2593
327	1284	2632
328	1286	2623
329	1288	2615
330	1289	2607
331	1291	2598
332	1296	2596
333	1298	2589
334	1309	2599
335	1311	2592
336	1313	2584
337	1315	2575
338	1316	2567
339	1318	2559
340	1319	2550
341	1321	2542
342	1322	2534
343	1324	2525
344	1340	2545
345	1372	2594
346	1374	2586
347	1381	2589
348	1383	2580
349	1385	2572
350	1386	2564
351	1398	2574
352	1401	2568
353	1403	2561
354	1412	2565
355	1413	2557
356	1415	2549
357	1417	2541
358	1419	2533
359	1420	2525
360	1422	2517
361	1436	2530
362	1437	2522
363	1462	2555
364	1464	2548
365	1466	2540
366	1468	2532
367	1469	2524
368	1472	2518
369	1475	2511
370	1476	2503
371	1478	2495
372	1480	2488
373	1482	2481
374	1483	2473
375	1485	2465
376	1522	2515
377	1524	2508
378	1526	2501
379	1528	2493
380	1529	2485
381	1531	2477
382	1533	2470
383	1538	2467
384	1540	2460
385	1541	2452
386	1543	2445
387	1545	2437
388	1546	2429
389	1548	2421
390	1549	2413
391	1554	2410
392	1556	2403
393	1557	2395
394	1571	2407
395	1573	2400
396	1575	2393
397	1577	2386
398	1579	2378
399	1581	2371
400	1585	2368
401	1587	2361
402	1589	2354
403	1591	2348
404	1594	2342
405	1597	2337
406	1600	2331
407	1601	2324
408	1603	2317
409	1605	2309
410	1606	2302
411	1608	2295
412	1610	2288
413	1613	2284
414	1615	2277
415	1617	2270
416	1618	2263
417	1620	2256
418	1621	2249
419	1623	2242
420	1625	2235
421	1639	2246
422	1645	2245
423	1656	2250
424	1658	2243
425	1663	2241
426	1665	2234
427	1666	2227
428	1668	2220
429	1670	2213
430	1671	2207
431	1673	2200
432	1677	2196
433	1678	2189
434	1680	2182
435	1699	2197
436	1710	2203
437	1719	2206
438	1736	2218
439	1738	2212
440	1743	2209
441	1745	2203
442	1746	2196
